날짜,제목,조회수,공감,비공감,본문
2024.10.07 10:02,조선주 하락 원인,2679,4,1,"원인은 크게 3가지다.  ▲미국 달러 대비 원화 환율이 하락하면서 환차익을 기대하기 어려워진 점  ▲현대제철이 중국산 후판을 반덤핑 제소하고 중국도 경기 부양책에 나서면서 원자재 가격이 오를 가능성이 커진 점  ▲친환경 컨테이너선 일감을 중국 조선사가 독식한 점 등이다. 조선사들이 일감을 충분히 확보하긴 했으나, 수익성이 더 좋아지기 어려워질 수 있는 요인들이다.  1)빅컷 소멸감에 환율은 다시 상승예상 2)선가에 포함시키면 될거고 3)제작 Capa대비 돈 되는거만 수주하자"
2024.10.07 09:25,조선 코인,1710,2,0,등극.. 아따 겁나 왔다갔다허네.. 실적주 위주로 이제 움직일때 안되었냐
2024.10.04 11:11,"'슈퍼사이클' 올라탄 조선3사, 3분기 만에 수주 목표 초과 달성",2976,1,1,그래서 언제 올라가냐고?
2024.09.30 08:01,"""조선주 급락, 후판가격 우려 때문…낙폭 과대""-SK",3531,0,4,전쟁을 부추기는거는 아니지만. 그래도 어수선한 중동정세때문에  유가상승. 조선 수요 급증 예상 조선주 가즈아.~~
2024.09.27 14:09,빠지는이유 추측,3821,4,4,"3분기 마무리 시점에 반등없이 하락이 나온다는건 실적이 좋지않다는 반증으로 보인다 명절 휴일 등 영업일수 제한, 파업 여파 등으로 인해 4분기부터 반등을 기대해야 할듯함  일단 매도후 관망"
2024.09.27 10:39,후판 반덤핑조사로 빠지는거네,3093,5,0,중국산 후판 반덤핑 조사한다고 빠지는 거   어짜피 반이상 국산 쓰는데....  이 정도로 빠질 뉴스는 아닌데.. 참.....  어짜피 내년 초 실적보고 갈려고 들고 갈려고 산건데  기분은 나쁘네.. ㅠㅠ
2024.09.27 10:10,망했네,2420,1,0,젠장
2024.09.27 09:24,하나에서 놀다가 금일 다시 입성!!,2354,0,1,여기서 잠시 놀다 갈께요!!!
2024.09.26 13:17,왜이렇게 내려갈까요?,2614,0,0,팔아버려야하는건지 갖고있어야하는건지 갖고있다면 언제까지 갖고있어야하는것인지..
2024.09.21 17:48,조선 3대장 월봉 차트 분석입니다.,2333,1,3,#조선주들의 상승세가 나름 좋다. 월봉으로 간단히 분석해보자.  월봉상 볼린저 밴드 상단을 잘 돌파했는지 상승추세에서는 볼린저밴드 상단을 지지하면서 올라간다. 하향 돌파하면 매도 시점이라고 보면 되겠다.   상세 차트 내용 : https://blog.naver.com/star_of_self  업무 참조바랍니다.
2024.09.19 13:37,조선 분석글입니다.,2208,1,1,https://m.blog.naver.com/ke2p_goin/223560288907
2024.09.09 09:11,조선 빅싸이클 이제 시작,4527,9,0,이따구 기사 쏟아질때가 최고점이었네  역시 국장 클라스  사기와 던지기만 난무하는 시장 ㅋㅋ
2024.09.05 14:24,흐미!!!,4883,1,0,사자 마자 물려 부렀네... 음메 무서운거!!!
2024.09.05 13:11,이래서 국장은 절대 하지 말라는거였군요,4067,16,0,호재에는 찔끔 내릴때는 이유도 없이 개폭락 이래서 국장은 하는가 아닌가 봅니다.
2024.09.05 11:46,혹시,3792,5,2,우리나라 조선업 다 망했나요?
2024.09.05 11:32,어디가노,948,4,0,며칠째 내리기만 하네
2024.09.03 21:58,자본시장 파괴정당 민주당 아웃!!!,677,12,3,개미들이여!!!  저항하자!!!
2024.08.29 12:43,개관들 겁나게 파네,2225,6,2,개관들 역대 호황이라고 방송하면 근 한달간 팔고있네
2024.08.29 09:59,뉴스에 좋다고 나올때가,1790,4,0,끝임을 다시 한번 증명해준거지 수급이 안들어오네 이미 단맛보고 다 나간것임
2024.08.28 15:27,뉴스 나오면 끝난거에요 ㅋㅋ,1912,3,1,이제 최소 6개월은 횡보
2024.08.27 10:18,미췬 장초반 뭔일이 있었던 거죠?,1928,1,0,장초반 뭔일이래요? 1시간을 못 버티고..하락길로..젠장..
2024.08.25 19:22,조선 분석글입니다.,1614,2,1,https://blog.naver.com/ke2p_goin/223560288907
2024.08.23 12:34,개미털고 물량늘리고 개미털고 물량늘리고,1849,4,2,지금까지도 그래왔고 앞으로도 반복될 일  그냥 쭉 가져가면 된다
2024.08.23 09:50,눌림목 조정 마무리 되나..,1468,3,1,"눌림목후 조선주 반등세기를 지켜보면서 저점..매수.. 여하튼 이번 눌림목 조정에서 hd미포 10만원 지키고 hd현대중공업 20만원 회목, hd한국조선 20만원 회복 시도.. Hd현대는 8만원 유지 10만원 돌파 준비 등 이번 눌림목 조정에서 분위기 좋아요 조선주 눌림목 조정후 반등세기 잘 체크 하자 .바로 날아갈지  ..한번더 눌림목 조정으로 저점매수 시회 줄지.."
2024.08.22 15:17,한번 흔들어 본거야???,1866,0,4,내일 쭉 당길 듯!!!  오늘 목요일이라 흔든거니???
2024.08.22 12:47,뭐야!!,1265,0,0,도대체 왜??
2024.08.22 11:09,프로그램 매도 이제 끝이야??? 이제 걷어들일까?,1433,4,0,이제 매수 해도 됨?
2024.08.22 10:33,아.. 뭐고 갑자기,978,0,0,어디까지 떨어지노
2024.08.22 09:57,뉴스 = 팔아라 공식,604,2,0,어제 sol조선top3플러스 요놈이 국내 상장 etf 중 6개월 수익률 1위라고 뉴스에 나오자마자 다음날인 오늘 기가막히게 내려꽂아버리는 국장 클라스
2024.08.22 09:52,오늘 왜이러쥬,438,0,0,엥
2024.08.19 12:54,편안한 세단타고있는 느낌 참 편하다,948,5,0,ㅇㅇ
2024.08.14 10:48,12535 빨랑와라,1883,0,1,추매하게
2024.08.08 11:24,LP 담당자 일찍 밥 먹으러 갔나,3278,3,0,제대로 추적되고 있음? 화장실 갔나;
2024.08.06 14:32,이건 그냥 푸근하네요,3758,7,0,확셀히 주도주 중 1섹터는 맞는듯
2024.08.06 10:11,LP 제대로 하고 있나,2995,1,0,왜 기초자산 트레킹 안되는거 같지?
2024.08.05 18:48,하락장에서 살아남는법,2704,0,1,"오늘 주식,코인 완전 망가졌네요 근데 그 많은 코인 다 하락했는데 딱 테더만 올랐습니다 왜 일까요? 옵션거래로 수익 보는 거 같은데 같이 공유하겠습니다  https://t.me/ujungmw"
2024.08.05 16:58,12440매수 후 5분 기분 좋았습니다.,2062,2,0,5시간 공포와 좌절의 시간을 느꼈네요  힘들 내세요 국내조선 200조원치 수주 잔고 있습니다
2024.08.05 13:48,본전에서 팔았다…,828,3,0,ㅜㅜ 내수익15%가 하루만에…떠이ㅜㅜ
2024.08.05 11:18,미친거아녀?,1072,3,0,헐
2024.08.01 13:19,가는넘만 간다.,1329,1,3,가자
2024.08.01 11:36,이거밖에는...,1398,12,0,지금 국장에는 이거 밖에 없어 ㅋ
