닉네임,날짜,내용,종목
귀염둥이스머프,2025-01-04T00:48:38+09:00,이대로 마무리 해준다면 오르겠군.. 할인 감사합니다..,360750
토맡오스파게티만을고집하는냥이,2025-01-03T23:30:52+09:00,이것도 펀드라 매매차익에 15.4프로 세금 때나요?,360750
알빠노키아,2025-01-03T19:20:02+09:00,"연간 납입한도 1월1일 리셋 아닌가요?
계좌 작년 11월에 만들었으면 혹시 좀 다른가요??",360750
김딩이,2025-01-03T18:52:27+09:00,ㅎㅇㅌ,360750
Soasia,2025-01-03T16:32:39+09:00,S&p 500 종류가 많던데 뭘 사야하나요?,360750
목마른원숭이,2025-01-03T16:15:16+09:00,"1년뒤 결혼자금으로 쓰려고 뺄 예정입니다.
작년 1년동안 30퍼 이상 올랐던데
올해도 올라주길 바래보아요....!",360750
주식왕초보입니다옹,2025-01-03T15:38:53+09:00,"적금이 만료되어서 100만원으로 시작하려고 햇지만 막상 매수하려니 간이 작아서 20주만 매수하게 되었습니다.
유튜브와 토스 커뮤니티를 보니 etf 꾸준히 모아두라고 하셔서 tiger로 쭉 밀어볼 생각이고 환율 괜찮아지면 미국 주식도 사볼까하는데 어떤가요?
관련 조언 감사히 받겠습니다",360750
Sidebar,2025-01-03T14:48:52+09:00,"""국장에만 안 물리면 산다""",360750
나나우류,2025-01-03T14:05:04+09:00,이 종목도 결국엔 오르는 건가요? 차트 보면 쭉 오르는 추세인데 앞으로도 몇 년 보고 사들이면 결국엔 이득 보는 건가오.. 주린이라 잘 모르겠어여 ㅠ,360750
줒엽이,2025-01-03T13:04:16+09:00,미애수,360750
흰돌고래래래,2025-01-03T12:12:21+09:00,"S&p를 토스에서 한화로 구매했는데
Isa 계좌 따로 안 만들었으니 etf 일반주식인가요? 이득 보고 되팔 때 200만원 이하도 세금 부과되고요.
맞나요...?",360750
다나았어,2025-01-03T11:20:50+09:00,안전자산,360750
빵빵덕S2,2025-01-03T11:07:59+09:00,"주린이입니다 ㅜㅜ
2천정도 생각중인데
토스에서 사서 10개월정도 후에 팔아도 상관없는건가요?
다들 장기투자로 얘기들 많이 하시는거 같아서요
도움 구하고 싶습니다 ㅜㅜ",360750
주란이에요,2025-01-03T10:45:36+09:00,2년 내에 똔 빼야하면 isa에 넣으면 안되는거죠?,360750
골드손,2025-01-03T10:17:40+09:00,예금보다 이율이 낫겠죠?,360750
꼬똘이,2025-01-03T10:06:45+09:00,"토스앱을 이용해서 etf 사려고 하는데요
한투앱이 불편하더라고요
한투앱을 이용하여 투자하지 않고
한투 isa계좌 연동해서 토스가 제공하는 etf사도 되는거죠??",360750
나는호구입니,2025-01-03T09:12:46+09:00,"https://blog.naver.com/cheshirejoon/223698596472
https://kr.investing.com/analysis/article-200450426
1월 한달은 나스닥 힘들거란 얘기가 있네요.",360750
CRBM,2025-01-03T02:09:57+09:00,"ETF는 ISA가 필수라고해서
계좌개설은 완료했고 이 계좌로 타이거 슨피 조금씩 사모으면 되나요?? 블랙록이랑 뱅가드가 운용하는건 단위가 넘사라 엄두도 안나네요 ㅋㅋㅋㅋㅋ
장투겸 배당금으로 치킨사먹을겸
사 모아 보려합니다 ㅎㅎ",360750
엣헴27,2025-01-03T02:07:38+09:00,매일 매일 약 3천원 정도 s&p 500 적립하려고 합니다 현재 국장은 나무증권에서 미장은 토스에서 하고 있는데 에센피는 isa 계좌를 만들어야 이득이라고 하셔서요 소수점 거래도 절세목적으로 isa 만들어야하나요??,360750
꾸준히모으는,2025-01-03T00:16:58+09:00,"퇴직연금으로 3년째 모으고있는데
사팔사팔 안하고 꾸준히가 답인거같습니다.
다들 올해 성투하시길!",360750
스사사다다다라로,2025-01-03T00:12:31+09:00,"안녕하세요 평범한 대학생입니다.
시드는 당장 300정도 들고 있고 월25씩 투자하려는 상황입니다.
청년도약적금계좌 이자가 6%, 만기는 5년인데, 나이가 어리면 s&p 500보다 적금을 하라는 분들이 많아서요. 주식을 잘 몰라서 그런데 이 차트만 보면 1년 사이에 10%이상의 수익은 무조건 나오는 것처럼 보이는데 왜 지금 나이면 주식을 하지 말고 적금을 하라는 의견이 있는지 궁급합니다",360750
야옹이에용,2025-01-02T21:45:54+09:00,다른 증권사에서 구매해도 토스앱에 연동되아서 뜨죠?,360750
Glgk1호,2025-01-02T21:38:49+09:00,2500원씩 모으기 해도 될까용??? 너무 적은돈같아서 질문 드립니다,360750
Njoy,2025-01-02T21:14:26+09:00,"적금에 달마다 60만원 들어가는데
일단 10년짜리 적금이라고 생각하고 달마다 60만원씩 넣으려고요
지금은 적금 만기가 안되서 달마다 10만원 정도 이지만요
#TIGER_미국S&P500",360750
Glgk1호,2025-01-02T20:42:50+09:00,Splg 투자 있는데 isa랑 다른건가요??,360750
원래목적은장투인투기꾼,2025-01-02T20:40:45+09:00,"S&P 500 2025 연말 예측_Yahoo finance(2025/1/1 기사[1])
https://m.blog.naver.com/allen_0430/223712393510


2025 미국 기술주 전망_Yahoo Finance(2025/1/1 기사[2])


S&P 500 GDP 수익률(2025/1/1 기사[3])",360750
주린이입니다람쥐렁이,2025-01-02T19:28:48+09:00,투표부탁드립니다..!!!,360750
징니징니,2025-01-02T19:27:15+09:00,"언제 드갈지 모르겟네여
월말대면 정권바뀌어서 뜨나",360750
박지성c,2025-01-02T17:25:41+09:00,시간외에 치솓네..,360750
GAEK,2025-01-02T16:54:33+09:00,https://m.site.naver.com/1A6Og,360750
오랫동안배를주린주린이,2025-01-02T13:39:49+09:00,Irp로 모아가려면 미래에셋 증권에서 irp를 만들어야 하는건가요?,360750
초보자대학생,2025-01-02T13:22:44+09:00,"현재 21살 대학생이고 월 60~70 정도 벌어서 씁니다. 이제 투자 쪽에 관심이 생겨 질문 드립니다.
청년도약계좌랑 isa계좌 만들어서 s&p500에 넣는게 좋을까요? 아니면 청년도약계좌에만 넣는게 좋을까요?",360750
부채꼴,2025-01-02T13:22:20+09:00,"현재 통장이자 3.4%니까 올해, 3.4%보다 높으면 성공한 투자라고 생각하겠습니다",360750
세상보는눈넓히기,2025-01-02T13:15:21+09:00,ISA 계좌는 토스에서 만들어도 상관 없는거죠?,360750
04년생주식왕,2025-01-02T12:54:36+09:00,ㅋㅋ,360750
주식모아집을사자,2025-01-02T12:43:47+09:00,세일기간 언제 까지일까요,360750
Resq,2025-01-02T12:01:03+09:00,총알이 없네,360750
슈리슈,2025-01-02T11:15:49+09:00,"Isa 돈 안 넣은채로 3년 지났는데
그냥 입금하면 되는거져..? ㅠㅠ",360750
Univdev,2025-01-02T10:40:22+09:00,화요일에 주식 시장이 난도질 당해서 그런가 하락폭이 심하네,360750
폼폼폼폼폼,2025-01-01T18:52:11+09:00,"안녕하세요! 23살 대학생입니다 소액이지만 투자 고민중이라 봐주시면 감사하겠습니다. 용돈+과외비로 투자하고 있고 매달 30~40 정도는 넣으려고 생각중입니다!

예금 든거 곧 만기라 예금 다시 들을지 주식에 투자할지 고민중인데요,
원래 토스로 직투(voo/schd/qqq)만 하고 있었는데 isa를 개설할지 고민중입니다.

최근 환율이 너무 뛰고 원화가치가 떨어질게 확실해뷰여서 청년도약계좌도 해지한 상황인데 isa에 넣어서 절세 혜택을 받는게 나을지, 그냥 지금이라도 환전해서 직투가 나을지 모르겠습니다ㅜ 직투해도 오래 들고갈 애들이고 250만원 수익은 안 나서 아직까지는 세제혜택을 체감하지 못하고 있어서요.

어차피 증권사에서 환전하고 들어가는 돈이니 원화가치 하락 같은거 신경쓰기보단 isa계좌가 나을까요??",360750
클루셉스키,2025-01-01T09:54:53+09:00,개가 짖어도 기차는 간다.,360750
주식하면또나지,2025-01-01T09:52:53+09:00,"1000만원정도 들어가있는데 isa
만드는게
맞나요?",360750
까투양,2025-01-01T00:43:35+09:00,2024 isa 한도 이천 다채웠는데 이제 2025깐 오늘부터 다시 넣을 수 있눈거죠??,360750
CRBM,2024-12-31T23:56:27+09:00,이거 사나 뱅가드꺼 사나 똑같은거임??,360750
Hjhjhjhjhjhjhj,2024-12-31T19:09:13+09:00,300만원 정도 넣어두고 방치하려고 하는데 isa랑 토스 중에 어디가 괜찮을까요? 그냥 넣어두고 나중에 보면 무조건 올라간다고 들었는데 맞나요..?,360750
정시3합제발,2024-12-31T16:55:20+09:00,"안녕하세요 알바비에서 생활비 빼고 달에 30만원 적금, 10만원 타이거 s&p500 투자할 생각하고 있는데 적금 비율을 조금 줄이는게 좋을까요? 적은 금액이라 isa계좌를 굳이 안 만들어도 되나 싶기도 하고... 돈 관리를 어떻게 해야할지 감이 잘 안잡히네요 조언 부탁드립니다 감사합니다!!",360750
경제학과새내기,2024-12-31T15:01:03+09:00,왜 안 팔리는 거지,360750
장도싸,2024-12-31T11:57:42+09:00,현재 퇴직연금 dc형으로 운용중인데 만약 퇴사를 하면 운용중인 상품 그대로 irp로 옮길수있냐요?,360750
콩이임다,2024-12-31T10:21:06+09:00,isa계좌랑 개인연금 계좌랑 다른건가요?? 저는 미래생각하고 한투에서 개인연금 매달50 매수중입니다,360750
주린이의커다란꿈,2024-12-31T10:07:22+09:00,Isa 랑 여기 토스증권에서 사는거랑 세금차이가 많이 나나요,360750
슈드파파,2024-12-31T09:37:52+09:00,환노출이라 하락폭이 더욱 크네요,360750
가갸거겨고교그,2024-12-31T02:39:01+09:00,현재 20살 대학생 월 80정도 알바로 받고있습니다. 대학교는 본가에서 통학해서 따로 지출이 나가진 않는데 월 30정도 용돈 느낌으로 쓰고 나머지 50을 주식에 투자하고싶은데 어디에 넣는게 좋을까요?,360750
주식이처음이얌,2024-12-31T00:39:19+09:00,히히,360750
주식이처음이얌,2024-12-31T00:36:31+09:00,다 팔고 다시 넣어야 되는 거 맞죠....?,360750
도끼멈무,2024-12-30T20:51:21+09:00,현재 나무 일반계좌로 31주있는데 isa계좌에서 구매하는게 나을까요??? 10년정도 무지성 구매예정인데... 아님 지금 일반계좌에서 할지 ㅜㅜ 고민이네요,360750
kkkkjjjj,2024-12-30T20:46:19+09:00,"25년 미증시 불안정하다는 얘기가많아서요
슨피 정리하고 테크중심 etf(서학개미 etf)로 갈아탈지
현금으로 들고잇을지
의견이궁금합니다
현재 유학금 90퍼정도가 슨피+나스닥에 있습니다",360750
망망밍몽,2024-12-30T14:10:29+09:00,"에센피를 모을거면
우리나라사람의경우 spy모으는게 낫나요
타이거에센피 모으는게 낫나요?",360750
태초마을,2024-12-30T13:01:56+09:00,화이팅!,360750
콩콩참새,2024-12-30T12:01:41+09:00,떨어지면 추매,360750
노아라실타,2024-12-30T11:32:21+09:00,"21년도에 물린거 31년되도 답없을거같은데 다 팔고 차라리 이거사서 10년 묻을까요
가격 왔다갔다하는 다른주식이랑 비트코인은 감당하기힘들거같아서요",360750
주식입문잘한걸까,2024-12-30T11:20:29+09:00,"Isa계좌 파서 선물 주고
한달에 30씩이라도 넣으랬는데
갠츈하죠?",360750
저점을찾고싶어요,2024-12-30T11:09:08+09:00,추매 드과자~,360750
라삐삐,2024-12-30T10:43:36+09:00,isa계좌로 처음 추매매,360750
pjker,2024-12-30T10:38:41+09:00,건강하구만!,360750
주린이부자되고싶어요,2024-12-30T10:34:28+09:00,저금통,360750
콩콩참새,2024-12-30T10:13:30+09:00,환율 오늘 떨어졌구나,360750
주식하면또나지,2024-12-30T10:02:09+09:00,고고,360750
빨리양,2024-12-30T09:06:41+09:00,너무 떨어지는데 뭔 일이래요?,360750
유여지,2024-12-29T22:57:37+09:00,"원화는 지금 한 60만원정도 있거든요 근데 슨피500을 할 지 100커버드콜을 할지 고민됩니다
후자가 배당율이 꽤 높은데 자본금이 작아 의미가 있나 싶습니다.. 좋은 의견 있으시면 남겨주시면 감사하겠습니다!",360750
강민성02,2024-12-29T17:02:55+09:00,"안녕하세요 고수님들 시드머니가 4억 정도 있는데
이거랑 schd 중에 몰빵하려 하는데 어디에 넣는게 좋을까요? 시드머니가 좀 커서 해외주식은 양도소득세 때매 차라리 여기넣는게 더 나을거 같긴하고 잘 모르겠네요",360750
애플고라니,2024-12-29T11:40:32+09:00,"#SPLG 가 나을까요? #TIGER_미국S&P500 가 나을까요?

일단 하나만 집중적으로 장기투자할 생각입니다",360750
못난왕자,2024-12-28T18:01:19+09:00,"20000 이하 전매도 걸어놨습니다...
20000 이하로 안내려가겠지..? ㅠ
작고 소듕한 내 470주 ㅠ",360750
아띵띵,2024-12-27T23:19:03+09:00,너무올라서 무서워서 반절만 익절햇어용 ㅠㅠ 목표가 이하로 떨어지면 재진입하겠습니다.,360750
슨피두,2024-12-27T21:45:02+09:00,"은행밥 몇 년 먹다가 얼마전에 금공으로 넘어온 슨붕이다.

결론부터 말하면 투자는 인내심 싸움이라 생각한다.

사람들이 생각보다 투자에서 재미를 못보는 이유는 딱 하나 한 번 상승장에서 운좋게 얻어걸렸거나 어디서 주워들은 짜깁기 정보가지고 돈 좀 만져본 그 순간부터 얄팍한 전문가 행세를 하고 기교를 부리기 때문이다.

솔직히 나도 그랬다 코인가지고 몇 번 재미 좀 봤다고 눈 돌아서 빚투했다가 그거 갚는데 몇 년을 허비했고 내 옆에 있었던 지점장, 과장, 계열사 증권맨 친구들도 싹 다 나락갔었다.

그 돈으로 펀드를 넣었어도 해외여행 몇 번은 다녀왔을거고 테크주 아무거나 골라잡았으면 제네시스는 뽑았을거다.

금융권 종사하는 사람들은 좀 다르다? 천만의 말씀 오히려 뭣도 아닌 전문가 놀이하다가 훅가는 건 다반사고 괜히 겉멋 들어서 스윙치고 레버리지 갖고 놀다가 바로 참교육 당하고 동네 뽀삐만도 못한 개밥그릇 빈털털이 계좌로 퇴학당하기 일 수다.

잡주타다가 슨피오면 재미는 확실히 없다.
도파민 터질 구석도 없고 인생 역전 각도 안보인다.

하지만 꾸준히 쌓아가면 적어도 한강갈일은 없고 아반떼 탈꺼 소나타 탈 정도는 살림에 도움될거라 생각한다.

투자는 인내심이다.

전문가처럼 보이려 애쓰지말고 되도않는 지식으로 분석하려하지말고 아묻따 넣고 몇 년뒤에 열어봐라.

지금 뭐 몇백원이 빠졌네 올랐네 일희일비하지 마라 이건 20년 30년 장투용이고 필요할 때 꺼내쓰는 금고 안 금괴 같은 개념으로 접근해야지 맞다.",360750
주식하면또나지,2024-12-27T17:41:30+09:00,다음주 어떻게 보시나요 고수님들,360750
주식모아집을사자,2024-12-27T15:51:55+09:00,이걸로 단타치면서 가격 내렸다고 하는 애들은 그냥 개별종목 직투하는게 나음,360750
전기주린이,2024-12-27T15:14:03+09:00,왜에에에에에에에에,360750
